Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error	file
Medlicot	GPE	that occasion his wife told him that during his absence Medlicot had been at the station.	260															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	ashamed even of the appeal which he had made to Medlicot. He spoke aloud and laughed with the men,	266															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	one with a positive suspicion, except Nokes, and Medlicot as the supporter of Nokes. But he had no	266															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	now he was disjoined from them by their sympathy with Medlicot! He had chosen to manage every thing himself without	266															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	he had expressed himself to the women so vehemently respecting Medlicot, he met Bates coming home from his day’s	268															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	, friend or foe, Bates, his wife, Medlicot, and this Boscobel, spoke to him as though	306															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	“Nokes is at work on Medlicot’s Mill. That sugar business wouldn’t suit me	345															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	that it was his purpose to return that night to Medlicot’s Mill. The proposition no doubt would be made	374															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	Boolabong was about fourteen miles from Medlicot’s Mill. Nokes had walked this distance in the	382															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	was conclusive. I can not understand a man in Medlicot’s position supporting a fellow like that. By Heavens	403															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	“That’s Medlicot’s trap,” said Mr. Bates, as they	415															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	accept a dinner under his roof; but that was Medlicot’s affair, not his.	422															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	was, too, almost a claim to superiority in Medlicot’s use of the word “hard.” When	425															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	, indeed, fading away. There was something in Medlicot’s voice and manner which made it impossible to attribute	435															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	Mrs. Heathcote were soon seated on the grass, while Medlicot and Kate Daly roamed on together. Kate was a	442															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	Heathcotes and Miss Daly should eat the Christmas dinner at Medlicot’s Mill. Mrs. Heathcote, thinking perhaps of her	478															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	Mary River, hitting it about four miles west of Medlicot’s Mill; so that there was a considerable portion	509															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	to the water. As has been before said, Medlicot’s plantation was about fourteen miles distant from the house	509															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	the moment to ask questions as to the cause of Medlicot’s presence so far from his home at that time	548															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	Harry’s men and Medlicot were advancing toward him, trampling out their own embers	557															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	the grass, he would soon be far away from Medlicot’s Mill and Gangoil. Harry felt that it would	565															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	he was himself the nearest to the river, and Medlicot and his foreman the farthest from it. The German	566															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	him, but had not heard of the arrival of Medlicot and the other man. Nokes was aware that some	573															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	the time that Jerry Brownbie had reached the German, Medlicot was there also.	573															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	“It’s that fellow, Medlicot, from the sugar-mill,” said Joe	577															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	continued Jerry, who had been given to understand that Medlicot was Heathcote’s enemy. “Anyway, I wo	578															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	the fire, Jerry attempted to ride him down. Medlicot caught the horse by the rein, and violently backed	579															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	of it, in spite of the injury done to Medlicot. Jerry was bruised and burned about the face by	581															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	alleging as a reason afterward the presence of his employer Medlicot.	581															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	in a mood for triumph. He soon found that Medlicot’s collar-bone was broken, and it would	585															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	should not come to the mill. From that time Medlicot and his foreman had watched him.	587															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	and Heathcote’s party had returned to their horses, Medlicot for a few minutes was faint and sick, but	589															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	him very well—the German, the Irishman, Medlicot’s foreman, Medlicot himself, and even Jacko;	603															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	the German, the Irishman, Medlicot’s foreman, Medlicot himself, and even Jacko; and though, no	603															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	, had not been unmindful of the fire. Had Medlicot not been wounded, he would have taken the party	614															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	The escort of the men would be sufficient to take Medlicot to the station, and he would reach the place	614															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	the whole story. So he made his proposal. Medlicot, of course, made no objection. Each of	614															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	across his mind for the first time an idea that Medlicot might marry his sister-in-law, and	615															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	, the broken bones suit themselves to such tardiness. Medlicot was brought in and put to bed. Let the	620															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	the two chaps as he calls boundary rulers, and Medlicot, the sugar fellow from the mill, and a	679															nothing found	ENG18742_Trollope_geo.tsv
Medlicot	GPE	the day, when the doctor had gone, and Medlicot was, according to instructions, sitting out on the	716															nothing found	ENG18742_Trollope_geo.tsv
Monopolizing	GPE	Greek jacket to the discouraging comments of Madame Savarin. Monopolizing the coupe, she became absolute mistress of the situation	505															nothing found	ENG18741_Bulwer_geo.tsv
L1,000	GPE	on the mortgages would leave the Marquis an income of L1,000 a year instead of L400. Louvier proposed to take	826															nothing found	ENG18741_Bulwer_geo.tsv
countenance,—eyes	GPE	lifted her eyes, streaming still, to his bended countenance,—eyes, despite their tears, so clear in their innocent	968															nothing found	ENG18741_Bulwer_geo.tsv
Roscius	GPE	. Greece retains the name of Polus, Rome of Roscius, England of Garrick, France of Talma, Italy	980															nothing found	ENG18741_Bulwer_geo.tsv
L1,000	GPE	(L200) left out of Louvier’s premium of L1,000. The Marquis, however, did not seem alarmed	1248															nothing found	ENG18741_Bulwer_geo.tsv
Marquis—“since	GPE	, least long for Paris life,” said the Marquis—“since my first visit to you, in company with Enguerrand	2144															nothing found	ENG18741_Bulwer_geo.tsv
Ha!—pardon	GPE	propitiated when the party in power steals its measures. Ha!—pardon me, who is that gentleman, evidently your countryman	2612															nothing found	ENG18741_Bulwer_geo.tsv
Thaises	GPE	great request, especially among the once brilliant Laises and Thaises, now looking more shabby, to whom they predict	2972															nothing found	ENG18741_Bulwer_geo.tsv
colloquys which	GPE	dead husband before anybody who happened to be present—colloquys which struck the simple spectators mute with terror. To her	96															nothing found	ENG18760_Collins_geo.tsv
Hebraistic	GPE	how it absorbed into itself all that was highest in Hebraistic Theism and in Hellenic thought—something too, let	327															nothing found	ENG18770_Mallock_geo.tsv
Aristogeiton	GPE	us, of nobler mould than ours—Harmodius and Aristogeiton, Achilles and Patroclus, David and Jonathan, our	543															nothing found	ENG18770_Mallock_geo.tsv
Katterfelto	GPE	in Carlton Gardens, recently occupied by the Marquis of Katterfelto. The mansion is undergoing very considerable repairs, but	1028															nothing found	ENG18800_Disraeli_geo.tsv
stickjaw	GPE	the comforts of home—I can specially recommend the stickjaw; look out for it on Tuesdays and Fridays.	215															nothing found	ENG18820_Anstey_geo.tsv
Slopsbury	GPE	those three trucks on the A siding to go to Slopsbury by the 6.30 luggage—she'll be in in another	1720															nothing found	ENG18820_Anstey_geo.tsv
Slopsbury	GPE	was train would be up and carry him off to Slopsbury, a hundred miles or so farther from home;	1724															nothing found	ENG18820_Anstey_geo.tsv
Gardereiter	GPE	has tossed it out into the road; and the Gardereiter, with his six black horses, and his confiding	26															nothing found	ENG18830_Broughton_geo.tsv
head—36	GPE	when one is continually doing a sum in one's head—36 and 5, 4I; I day from 4 days	848															nothing found	ENG18830_Broughton_geo.tsv
unfastens	GPE	She will enjoy her letters at luxurious leisure. She unfastens the cover, and the enclosures fall out, six	1530															nothing found	ENG18830_Broughton_geo.tsv
unfastens	GPE	He neither disclaims nor accepts her acknowledgments. Gravely he unfastens the iron gate for her; while above his gold	1850															nothing found	ENG18830_Broughton_geo.tsv
youthhood	GPE	river, that brave water-way alive with vigorous youthhood— of gaily drinking tea and sucking cider-cup	2290															nothing found	ENG18830_Broughton_geo.tsv
begegnen da ich heute im Gemüth	GPE	weil er das Aufsteigen fürchtete— Was wird mir Schlimmes begegnen da ich heute im Gemüth so heiter bin: welche Freude steht mir bevor da	2609															nothing found	ENG18830_Broughton_geo.tsv
slowlier	GPE	But he awakens slowlier than she.	2711															nothing found	ENG18830_Broughton_geo.tsv
wall,—mute	GPE	eat nor drink, but turned her face to the wall,—mute.	166															nothing found	ENG18831_Ouida_geo.tsv
sunbrowned	GPE	herbage under her heavy shoes, ragged, picturesque, sunbrowned, swinging deep brass pails as she went to the	710															nothing found	ENG18831_Ouida_geo.tsv
Demophoon	GPE	in the days of her desolation, took the child Demophoon to nurture him as her own on the food of	1843															nothing found	ENG18831_Ouida_geo.tsv
pourtrayed	GPE	of his art, and therein had scrutinised, and pourtrayed, and debased it, until it had lost to	3389															nothing found	ENG18831_Ouida_geo.tsv
suspected,—most	GPE	“You will be suspected,—most likely imprisoned. You are an outcast.”	3977															nothing found	ENG18831_Ouida_geo.tsv
lips,—since	GPE	. Food seemed to choke her as it passed her lips,—since how could she tell but what his lips were parched	4109															nothing found	ENG18831_Ouida_geo.tsv
him?—had	GPE	steel was set hard against her breast. But for him?—had the gods forgotten? had he forgot?	4293															nothing found	ENG18831_Ouida_geo.tsv
studio—“of	GPE	said Perry, as they sat smoking in the sheltered studio—“of course I’m very happy, and that sort of	82															nothing found	ENG18840_Lee_geo.tsv
Brynhilt	GPE	have some sort of tragic past—a kind of Brynhilt or Amazon.”	110															nothing found	ENG18840_Lee_geo.tsv
St Theresa—“a	GPE	it with as much unction as he had manifested for St Theresa—“a bit of the one which Byron possessed,—the most precious thing	839															nothing found	ENG18840_Lee_geo.tsv
bobwigs	GPE	ladies and gentlemen in armour, and ruffs, and bobwigs, and powder, hanging all round—his ancestors	1055															nothing found	ENG18840_Lee_geo.tsv
The Hintocks	GPE	of Casterbridge, who hailed from Mellstock, Weatherbury, The Hintocks, Sherton-Abbas, Kingsbere, Overcombe, and	374															nothing found	ENG18860_Hardy_geo.tsv
supplanter	GPE	had pity upon her at that moment. But the supplanter was the upstart (as Henchard called him) who	1443															nothing found	ENG18860_Hardy_geo.tsv
humstrums	GPE	cleavers, tongs, tambourines, kits, crouds, humstrums, serpents, rams'-horns, and other historical kinds of	2078															nothing found	ENG18860_Hardy_geo.tsv
kneenaps	GPE	and wimble, set himself up in fresh leggings, kneenaps and corduroys, and in other ways gone back to	2312															nothing found	ENG18860_Hardy_geo.tsv
betokens	GPE	-foolish and wholly ecstatic smile on his lips which betokens a young man's first sensations of happiness, she	490															nothing found	ENG18870_Barry_geo.tsv
countersigns	GPE	, 'Talked, I say, of signs and countersigns, he would have been judged a traitor and punished	753															nothing found	ENG18870_Barry_geo.tsv
Trascoro	GPE	degrees they came through the forest of pillars to the Trascoro, with its railing of wood instead of the bronze	1782															nothing found	ENG18870_Barry_geo.tsv
bustless	GPE	on the napes of their necks—their little, bustless, waistless, hipless figures, long plaintive noses,	362															nothing found	ENG18871_Broughton_geo.tsv
unfastens	GPE	He rises, and unfastens the cob from the tree-branch to which he	712															nothing found	ENG18871_Broughton_geo.tsv
"key—""I"	GPE	"his voice changing to an emphatic, eager, impassioned key—""I have been so little used to having things go as"	1347															nothing found	ENG18871_Broughton_geo.tsv
"indignantly—""I"	GPE	"I to be with you?"" he asks, indignantly—""I, who cannot see you without coveting you?"	1571															nothing found	ENG18871_Broughton_geo.tsv
comicalities	GPE	Fun, and half-a-dozen other dreary comicalities to Esther. She looks at him for a second	1646															nothing found	ENG18871_Broughton_geo.tsv
unfastens	GPE	candle, therefore, he advances towards the door and unfastens it—it is secured by an old-fashioned	2776															nothing found	ENG18871_Broughton_geo.tsv
Poll Ghyll	GPE	Do you go on with that night-school in Poll Ghyll, for instance?' he said, with another	640															nothing found	ENG18880_Ward_geo.tsv
Teliaboff	GPE	straight up to it. I thought it must be Teliaboff's, and if it wasn't I felt I	1957															nothing found	ENG18890_Nesbit_geo.tsv
Teliaboff	GPE	came to me I told him all. It was Teliaboff. He was very good to me, and kept	1957															nothing found	ENG18890_Nesbit_geo.tsv
Teliaboff	GPE	to what I have tried to do. I sent Teliaboff his money back, but I have never heard from	1958															nothing found	ENG18890_Nesbit_geo.tsv
suivons	GPE	'Viens, suivons les sentiers ombreux, Ou s'égarent les amoureux Le printemps	2053															nothing found	ENG18890_Nesbit_geo.tsv
wines.—Watson	GPE	of grouse, with something a little choice in white wines.—Watson, you have never yet recognized my merits as a	598															nothing found	ENG18900_Doyle_geo.tsv
Schelmen der Stoff	GPE	dir schuf, Denn zum würdigen Mann war und zum Schelmen der Stoff.' By the way, à propos of this	826															nothing found	ENG18900_Doyle_geo.tsv
biliousness	GPE	suggesting to her that she may possibly be suffering from biliousness. The administering of bromide, to calm her nerves	560															nothing found	ENG18901_Broughton_geo.tsv
"key—""I"	GPE	"it is not true; but""—with a joyful change of key—""I will not cry any more without better cause. Since"	672															nothing found	ENG18901_Broughton_geo.tsv
octogenarian	GPE	's life might be counted upon the thumbs of that octogenarian's hands. The favoured inhabitants of London have breakfasted	1957															nothing found	ENG18901_Broughton_geo.tsv
Inniscrewin	GPE	. At the further end was a little islet called Inniscrewin. Its rocky centre, covered with many bushes,	270															nothing found	ENG18910_Yeats_geo.tsv
Thitherward	GPE	other, live in the moment as it passes. Thitherward had his days brought him. This was the one	315															nothing found	ENG18910_Yeats_geo.tsv
mirthfully	GPE	'And the hero grocer !' shouted Jasper, mirthfully. 'Oh, but it's quite decent;	2720															nothing found	ENG18911_Gissing_geo.tsv
apoplexy	GPE	'He died of apoplexy, at a meeting in Wattleborough. I shall go	2905															nothing found	ENG18911_Gissing_geo.tsv
Darwitts	GPE	slipping. The gentleman, who said his name was Darwitts, insisted on escorting Carrie to have a glass of	85															nothing found	ENG18920_Grossmith_geo.tsv
Parachikka Chlorates	GPE	"advice, Mr. Murray Posh has invested £600 in Parachikka Chlorates!"""	420															nothing found	ENG18920_Grossmith_geo.tsv
bedizened	GPE	was seen the profile of another girl, painted, bedizened, supercilious.	395															nothing found	ENG18940_Dixon_geo.tsv
qu'elle est fagotée	GPE	's high at the back! And the daughter—qu'elle est fagotée, mon Dieu, and with diamonds put in all	496															nothing found	ENG18940_Dixon_geo.tsv
yer”—she	GPE	off? I shall 'ave to clean up after yer”—she pointed scornfully to the marks of their muddy boots on	430															nothing found	ENG18951_Ward_geo.tsv
Mr.—gone	GPE	"other. Then ideas began to come. ""Has Mr.—gone out that way?"" said I."	302															nothing found	ENG18952_Wells_geo.tsv
vouchsafed	GPE	his betrothed, and their jealousy when this benefit was vouchsafed to one or another of them; they wondered among	350															nothing found	ENG18954_Sharp_geo.tsv
extracted,—a	GPE	saucepan from which the duck's food had just been extracted,—a process which had the effect of making everything taste alike	598															nothing found	ENG18954_Sharp_geo.tsv
notwithstandin	GPE	were too slippy to bring the dog-cart, notwithstandin' as it bain't the cart what falls down,	626															nothing found	ENG18954_Sharp_geo.tsv
all?—Who	GPE	"What is behind my think? Am I there at all?—Who, what am I?"""	79															nothing found	ENG18953_Macdonald_geo.tsv
Entreaty	GPE	Entreaty was vain. I must accept my fate! But	178															nothing found	ENG18953_Macdonald_geo.tsv
threatful	GPE	, perched with outstretched wings on the top, appeared threatful.	385															nothing found	ENG18953_Macdonald_geo.tsv
What?—You	GPE	"""It! What?—You would have buried this?"" she exclaimed, flashing"	980															nothing found	ENG18953_Macdonald_geo.tsv
Bowdlerised	GPE	steal his fiancée, and play the part of a Bowdlerised King David to the Uriah of poor dear Leversedge?	536															nothing found	ENG18960_Malet_geo.tsv
Kindly?—no	GPE	“Kindly?—no, dear Mrs. Perry, the word, the idea	739															nothing found	ENG18960_Malet_geo.tsv
Fairylike?—yes	GPE	“Fairylike?—yes, I'm sure, positively fairylike,” broke	983															nothing found	ENG18960_Malet_geo.tsv
availeth	GPE	"""'The prayer of the righteous man availeth much,'"" answered Gray Michael evasively. """	290															nothing found	ENG18970_Phillpots_geo.tsv
thrawne	GPE	' bang up to the right hand o' the thrawne! Theer's a situation for a body! An	1120															nothing found	ENG18970_Phillpots_geo.tsv
kicklish	GPE	comes back to find this coil. 'Tis a kicklish business an' I wish 'twas awver. Joe	1285															nothing found	ENG18970_Phillpots_geo.tsv
forbeareth	GPE	that heareth let en hear, an' he that forbeareth let en forbear, for they are a rebellious house	1534															nothing found	ENG18970_Phillpots_geo.tsv
Learneth	GPE	Chapter XVI ~ Birdalone Meeteth Habundia Again; and Learneth Her First Wisdom of Her	144															nothing found	ENG18972_Morris_geo.tsv
availeth	GPE	that thou wilt slay me therefor; and that it availeth not to crave mercy of thee.	213															nothing found	ENG18972_Morris_geo.tsv
availeth	GPE	friend; but he answered me: Lady, it availeth not; I grieve that I am no better company	773															nothing found	ENG18972_Morris_geo.tsv
Thitherward	GPE	Thitherward then ran we, shouting, for we saw at	855															nothing found	ENG18972_Morris_geo.tsv
meseems	GPE	in my mind to say to thee many things that meseems were sage, but now neither will the thought of	921															nothing found	ENG18972_Morris_geo.tsv
availeth	GPE	me, a mere wild woman. And now nought availeth either me or thee but I must begone, and	952															nothing found	ENG18972_Morris_geo.tsv
Meseems	GPE	sweet, that I cannot choose but weep. Meseems it is because love of thee hath taken mine heart	992															nothing found	ENG18972_Morris_geo.tsv
meseems	GPE	into love, and estrangement into familiar friendship; and meseems that the sight of your bodies and your hands made	1327															nothing found	ENG18972_Morris_geo.tsv
Velabrum	GPE	on the Flaminian Way, nor is it in the Velabrum, nor the Suburra, nor in the Forum Boarium	881															nothing found	ENG18980_BaringGould_geo.tsv
this Longa Duilia	GPE	could not take place much before midsummer, and to this Longa Duilia had to submit.	1343															nothing found	ENG18980_BaringGould_geo.tsv
pronuba	GPE	and they received the salutations of their friends. The pronuba, a married female relative united their hands, and	1378															nothing found	ENG18980_BaringGould_geo.tsv
Tablinum	GPE	passed the vestibule, traversed the Atrium and entered the Tablinum. But Longa Duilia was not there. A slave	1827															nothing found	ENG18980_BaringGould_geo.tsv
Ollendorfish	GPE	"had bowed a good deal, and said heaps of Ollendorfish kind of sentences, I was given some ""sirop"	126															nothing found	ENG19001_Glyn_geo.tsv
Tetleigh	GPE	. You remember her?—the speckled one that I got from Tetleigh, four years ago come Michaelmas. But that's	1223															nothing found	ENG19004_Fowler_geo.tsv
waistcloth	GPE	preparing his daily food. Naked, save for his waistcloth, and the thread of the twice-born over	66															nothing found	ENG19005_Steel_geo.tsv
waistcloth	GPE	not hope to keep his revolver dry, improvised a waistcloth out of the silk sash he wore instead of a	2042															nothing found	ENG19005_Steel_geo.tsv
snuffeth	GPE	, and we never shall; the wild ass that snuffeth up the east wind isn't in it with a	2271															nothing found	ENG19005_Steel_geo.tsv
unpainted,—a	GPE	workman who had left a black strip of the door unpainted,—a fairly wide strip, too, which his host should	354															nothing found	ENG19010_Mason_geo.tsv
Monte Scanupia	GPE	-ridge, away to the towering limestone cliffs of Monte Scanupia; on her right, the white peaks of the	1338															nothing found	ENG19010_Mason_geo.tsv
wakefully	GPE	for it. Poor man, he will have slept wakefully this night! Here, sir, you will find	1438															nothing found	ENG19010_Mason_geo.tsv
Psammead‐wish	GPE	of one of their wishes, and therefore was a Psammead‐wish, and as such could not be noticed by the	112															nothing found	ENG19060_Nesbit_geo.tsv
Nisroch	GPE	And the names of their Ministers—perhaps the great Nisroch is one of them?”	825															nothing found	ENG19060_Nesbit_geo.tsv
Nisroch	GPE	“By the beak of Nisroch, ask what you will, strangers from the land	869															nothing found	ENG19060_Nesbit_geo.tsv
Nusroch	GPE	though I don’t know why you want it. Nusroch—Nisrock—Nisroch—That’s it.”	906															nothing found	ENG19060_Nesbit_geo.tsv
Nisrock	GPE	don’t know why you want it. Nusroch—Nisrock—Nisroch—That’s it.”	906															nothing found	ENG19060_Nesbit_geo.tsv
Nisroch	GPE	know why you want it. Nusroch—Nisrock—Nisroch—That’s it.”	906															nothing found	ENG19060_Nesbit_geo.tsv
Nisroch	GPE	she cried in a fervent voice. “Oh, Nisroch, servant of the Great Ones, come and help	908															nothing found	ENG19060_Nesbit_geo.tsv
Nisroch	GPE	is your need that you call on the name of Nisroch?”	913															nothing found	ENG19060_Nesbit_geo.tsv
Nisroch	GPE	Nisroch raised his great arm and pointed at the wall of	916															nothing found	ENG19060_Nesbit_geo.tsv
Nisroch	GPE	it wasn’t the gaoler’s fault. It was Nisroch.”	926															nothing found	ENG19060_Nesbit_geo.tsv
Nisroch	GPE	“Nisroch!” echoed the Queen. “You are indeed	927															nothing found	ENG19060_Nesbit_geo.tsv
oricalchum	GPE	covered with tin; and the innermost one was of oricalchum.	1293															nothing found	ENG19060_Nesbit_geo.tsv
spargens	GPE	was the note of the Roman trumpet, tuba mirum spargens sonum, filling all the hollow valley with its command	85															nothing found	ENG19070_Machen_geo.tsv
Mijnheer	GPE	and dry, sorted according to kind and quality; Mijnheer knew them all; he could, like a book	245															nothing found	ENG19071_Silberrad_geo.tsv
Mijnheer	GPE	next day, Sunday, Julia went to church with Mijnheer and Joost; Mevrouw did not find herself well enough	259															nothing found	ENG19071_Silberrad_geo.tsv
Mijnheer	GPE	that was done they stopped again at the house of Mijnheer's head clerk; here they were to take up	295															nothing found	ENG19071_Silberrad_geo.tsv
Mijnheer	GPE	while with Mevrouw, and helping to detail it to Mijnheer. At last the table was ready for supper and	334															nothing found	ENG19071_Silberrad_geo.tsv
Mijnheer	GPE	surprised if she had volunteered to go in place of Mijnheer, even if his cold had not offered a reason	534															nothing found	ENG19071_Silberrad_geo.tsv
Mevrouw	GPE	the office. When she had done she went to Mevrouw, who had betaken herself to her room worn out	797															nothing found	ENG19071_Silberrad_geo.tsv
Mijnheer	GPE	"the table. ""Shall I take the cups, Mijnheer?"" she asked."	986															nothing found	ENG19071_Silberrad_geo.tsv
Mevrouw	GPE	reflected an open fire, a dirty extravagance unknown to Mevrouw. Joost glanced at the fire, and it is	1306															nothing found	ENG19071_Silberrad_geo.tsv
Mijnheer	GPE	from Holland; one, she fancied, was from Mijnheer, one from his son. She opened the latter	1664															nothing found	ENG19071_Silberrad_geo.tsv
Mijnheer	GPE	priceless Nankeen china while her husband smoked long cigars with Mijnheer on the veranda, but that was all her own	1780															nothing found	ENG19071_Silberrad_geo.tsv
burthens	GPE	and swept at times by avalanche-like porters bearing burthens to vans, to Farringdon Street. He hailed a	678															nothing found	ENG19090_Wells_geo.tsv
"epithet-""horrid"	GPE	"in this essential business of life she had one inseparable epithet-""horrid."" Without any such training she would have been"	915															nothing found	ENG19090_Wells_geo.tsv
Fiendishly	GPE	"""Oh, certainly.  Fiendishly careful."""	427															nothing found	ENG19100_Forster_geo.tsv
admonitory whirligig	GPE	he had felt them scarcely human—a sort of admonitory whirligig.  But a Miss Schlegel alone was different.	2066															nothing found	ENG19100_Forster_geo.tsv
Buryhamstreet	GPE	it. Fourpence remained,—and there would be a porter at Buryhamstreet!	2															nothing found	ENG19120_Wells_geo.tsv
Buryhamstreet	GPE	to avoid financial discussion during her first few days at Buryhamstreet.	3															nothing found	ENG19120_Wells_geo.tsv
Buryhamstreet	GPE	"a style of his own, and spoke of the Buryhamstreet district as a ""pooty little country—pooty little"	146															nothing found	ENG19120_Wells_geo.tsv
Buryhamstreet	GPE	Mrs. Pope asked Mr. Wintersloan, about his route to Buryhamstreet, and then Mr. Pope asked Mr. Magnet whether he	156															nothing found	ENG19120_Wells_geo.tsv
Buryhamstreet	GPE	with this proposal as she liked. He was at Buryhamstreet almost with the air of being her parents' guest	229															nothing found	ENG19120_Wells_geo.tsv
Buryhamstreet	GPE	Mr. Magnet (who was after all staying on in Buryhamstreet) and the Rev. Jopling Baynes. Aunt Plessington liked	413															nothing found	ENG19120_Wells_geo.tsv
Buryhamstreet	GPE	Lady Petchworth's proffered car, and walked back to Buryhamstreet across the park through a sleeping pallid cornfield, and	486															nothing found	ENG19120_Wells_geo.tsv
Buryhamstreet	GPE	, five miles off, on the other side of Buryhamstreet, to buy silk shoelaces.	746															nothing found	ENG19120_Wells_geo.tsv
Buryhamstreet	GPE	fall in love with Marjorie during his brief sojourn in Buryhamstreet and the acuteness of his disappointment, and nothing could	900															nothing found	ENG19120_Wells_geo.tsv
Buryhamstreet	GPE	. After the fourth day Solomonson was only kept in Buryhamstreet by sheer will-power, exerted with a brutality	918															nothing found	ENG19120_Wells_geo.tsv
Buryhamstreet	GPE	Crisis prevailed in Buryhamstreet that night. On half a dozen sleepless pillows souls	986															nothing found	ENG19120_Wells_geo.tsv
Buryhamstreet	GPE	"said, ""that you don't want him in Buryhamstreet."" He arrested Marjorie's forward movement towards Trafford"	1136															nothing found	ENG19120_Wells_geo.tsv
Buryhamstreet	GPE	"""I don't think you ought to stay in Buryhamstreet, Mr. Trafford,"" said Marjorie."	1137															nothing found	ENG19120_Wells_geo.tsv
Buryhamstreet	GPE	"the instability of ""girlish whims,"" remained at Buryhamstreet until the family returned to Hartstone Square. The engagement"	1173															nothing found	ENG19120_Wells_geo.tsv
Buryhamstreet	GPE	He had left Buryhamstreet with Marjorie riotously in possession of his mind. He	1193															nothing found	ENG19120_Wells_geo.tsv
Laidlawbyres	GPE	at Blackhopefoot, and have charge of the section from Laidlawbyres to the Riggs? Good! A fair bit of	277															nothing found	ENG19150_Buchan_geo.tsv
Philistinish	GPE	and the man himself ran out of his stuffy, Philistinish lair in his absurd, hunted-animal manner,	133															nothing found	ENG19170_Conrad_geo.tsv
Kreisleriana	GPE	There were to be no more explanations. In Kreisleriana her apport was very important: much more definite	1117															nothing found	ENG19180_Lewis_geo.tsv
Mistvich	GPE	“Mistvich!” Bertha said, at the same time retreating	1291															nothing found	ENG19180_Lewis_geo.tsv
Bitzenko	GPE	The Russian, Bitzenko by name, a solemnly excitable bourgeois of Petrograd,	1753															nothing found	ENG19180_Lewis_geo.tsv
Bitzenko	GPE	Stephen (Staretsky) got up and put himself at Bitzenko’s disposition. The whole party became tumultuous at	1784															nothing found	ENG19180_Lewis_geo.tsv
Bitzenko	GPE	The worry of this hour or so in which Bitzenko was negotiating told on him so much that when at	1842															nothing found	ENG19180_Lewis_geo.tsv
Bitzenko	GPE	conflict with the police was not without charm for Bitzenko. He regarded the police force, its functions	1852															nothing found	ENG19180_Lewis_geo.tsv
Bitzenko	GPE	blood at his door was an alluring one for Bitzenko.	1870															nothing found	ENG19180_Lewis_geo.tsv
Bitzenko	GPE	staring at Bitzenko with his look of false surprise.	1901															nothing found	ENG19180_Lewis_geo.tsv
Bitzenko	GPE	At this Bitzenko rapped him smartly on the cheek. Staretsky, who	1924															nothing found	ENG19180_Lewis_geo.tsv
Bitzenko	GPE	Staretsky was jabbering at Bitzenko, his arm through his friend’s. Soltyk stood	1948															nothing found	ENG19180_Lewis_geo.tsv
Bitzenko	GPE	At Bitzenko’s words he had a feeling of a new order	1967															nothing found	ENG19180_Lewis_geo.tsv
