author_name	author_id	loc_type	place	place_id	country	country_ISO	place_full	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Eliot, George [pseud.]	Q131333	place of birth	Nuneaton	Q175632	United Kingdom	GBR	Nuneaton, United Kingdom	Nuneaton, Nuneaton and Bedworth, Warwickshire, England, GBR	Locality	City				Nuneaton and Bedworth	Warwickshire	England	United Kingdom	GBR	-1.4677203379999355	52.52216017300003	100.0	
Eliot, George [pseud.]	Q131333	place of death	London	Q84	United Kingdom of Great Britain and Ireland	GBR	London, United Kingdom of Great Britain and Ireland	United Kingdom of Great Britain and Northern Ireland	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	93.63	
Eliot, George [pseud.]	Q131333	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Eliot, George [pseud.]	Q131333	archives at	Leeds University Library	Q24568958	United Kingdom	GBR	Leeds University Library, United Kingdom	Library, Woodhouse Lane, University District, Leeds, West Yorkshire, England, LS2 3, GBR	POI	ATM	Woodhouse Lane	Woodhouse		Leeds	West Yorkshire	England	United Kingdom	GBR	-1.5515499999999633	53.807150000000036	90.8	
Eliot, George [pseud.]	Q131333	archives at	Harry Ransom Center	Q5671855	United States of America	USA	Harry Ransom Center, United States of America	Harry Ransom Center, 300 W 21st St, Austin, TX, 78712, USA	POI	Museum	300 W 21st St	21st	300	Austin	Travis County	Texas	United States	USA	-97.74105999999995	30.28376000000003	100.0	
Braddon, Mary Elizabeth	Q437184	place of burial	Richmond Cemetery	Q22115628	United Kingdom	GBR	Richmond Cemetery, United Kingdom	Richmond Cemetery, Lower Grove Road, Richmond, Surrey, England, TW10 6, GBR	POI	Cemetery	Lower Grove Road	Lower Grove		Richmond	Surrey	England	United Kingdom	GBR	-0.28945999999996275	51.45683000000008	100.0	
Braddon, Mary Elizabeth	Q437184	place of birth	London	Q84	United Kingdom of Great Britain and Ireland	GBR	London, United Kingdom of Great Britain and Ireland	United Kingdom of Great Britain and Northern Ireland	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	93.63	
Braddon, Mary Elizabeth	Q437184	place of death	Richmond	Q2500974	United Kingdom	GBR	Richmond, United Kingdom	Richmond, Richmondshire, North Yorkshire, England, GBR	Locality	City				Richmondshire	North Yorkshire	England	United Kingdom	GBR	-1.7372904839999705	54.404115327000056	100.0	
Braddon, Mary Elizabeth	Q437184	country of citizenship	United Kingdom	Q145	United Kingdom	GBR	United Kingdom, United Kingdom	United Kingdom	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	100.0	
Braddon, Mary Elizabeth	Q437184	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Craik, Dinah Maria	Q2331155	place of birth	Stoke-on-Trent	Q134902	United Kingdom	GBR	Stoke-on-Trent, United Kingdom	Stoke-on-Trent, Staffordshire, England, GBR	Locality	City				Stoke-on-Trent	Staffordshire	England	United Kingdom	GBR	-2.173368453999956	53.022201024000026	100.0	
Craik, Dinah Maria	Q2331155	place of death	Shortlands	Q122313	United Kingdom	GBR	Shortlands, United Kingdom	Shortlands, Bromley, Greater London, England, GBR	Locality	District				Bromley	Greater London	England	United Kingdom	GBR	0.007030308000025798	51.40155451100003	100.0	
Craik, Dinah Maria	Q2331155	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Craik, Dinah Maria	Q2331155	archives at	Harry Ransom Center	Q5671855	United States of America	USA	Harry Ransom Center, United States of America	Harry Ransom Center, 300 W 21st St, Austin, TX, 78712, USA	POI	Museum	300 W 21st St	21st	300	Austin	Travis County	Texas	United States	USA	-97.74105999999995	30.28376000000003	100.0	
Reade, Charles	Q247473	place of birth	Ipsden	Q507607	United Kingdom	GBR	Ipsden, United Kingdom	Ipsden, South Oxfordshire, Oxfordshire, England, GBR	Locality	Village				South Oxfordshire	Oxfordshire	England	United Kingdom	GBR	-1.0920594439999718	51.56170009900006	100.0	
Reade, Charles	Q247473	place of death	London	Q84	United Kingdom of Great Britain and Ireland	GBR	London, United Kingdom of Great Britain and Ireland	United Kingdom of Great Britain and Northern Ireland	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	93.63	
Reade, Charles	Q247473	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Reade, Charles	Q247473	archives at	Beinecke Rare Book & Manuscript Library	Q814779	United States of America	USA	Beinecke Rare Book & Manuscript Library, United States of America	Beinecke Rare Book and Manuscript Library, Town of New Haven, CT, USA	POI	Library				Town of New Haven	New Haven County	Connecticut	United States	USA	-72.92704999999995	41.31149000000005	100.0	
Stretton, Hesba	Q4443905	place of birth	Wellington	Q1898698	United Kingdom	GBR	Wellington, United Kingdom	Wellington, Somerset West and Taunton, Somerset, England, GBR	Locality	City				Somerset West and Taunton	Somerset	England	United Kingdom	GBR	-3.227459954999972	50.978562544000056	100.0	
Stretton, Hesba	Q4443905	place of death	Ham	Q5643819	United Kingdom	GBR	Ham, United Kingdom	Ham, Devon, England, GBR	Locality	District				Ham	Devon	England	United Kingdom	GBR	-4.162414315999968	50.396805862000065	100.0	
Stretton, Hesba	Q4443905	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Blackmore, Richard Doddridge	Q3316148	place of burial	Teddington Cemetery	Q20876372	United Kingdom	GBR	Teddington Cemetery, United Kingdom	Teddington Cemetery, Shacklegate Lane, Teddington, Middlesex, England, TW11 8, GBR	POI	Cemetery	Shacklegate Lane	Shacklegate		Teddington	Middlesex	England	United Kingdom	GBR	-0.34048999999993157	51.432570000000055	100.0	
Blackmore, Richard Doddridge	Q3316148	place of birth	Longworth	Q2054042	United Kingdom	GBR	Longworth, United Kingdom	Longworth, Vale of White Horse, Oxfordshire, England, GBR	Locality	Village				Vale of White Horse	Oxfordshire	England	United Kingdom	GBR	-1.4375951539999505	51.69132686300003	100.0	
Blackmore, Richard Doddridge	Q3316148	place of death	Teddington	Q2281721	United Kingdom	GBR	Teddington, United Kingdom	Teddington, Tewkesbury, Gloucestershire, England, GBR	Locality	Village				Tewkesbury	Gloucestershire	England	United Kingdom	GBR	-2.0533993999999325	51.99636091800005	100.0	
Blackmore, Richard Doddridge	Q3316148	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Blackmore, Richard Doddridge	Q3316148	archives at	National Library of Wales	Q666063	United Kingdom	GBR	National Library of Wales, United Kingdom	National Library of Wales, Aberystwyth, Dyfed, Wales, SY23 3, GBR	POI	Museum				Aberystwyth	Dyfed	Wales	United Kingdom	GBR	-4.06848999999994	52.414510000000064	100.0	
Carroll, Lewis [pseud.]	Q38082	place of burial	Surrey	Q23276	United Kingdom	GBR	Surrey, United Kingdom	Surrey, England, GBR	Locality	Zone						England	United Kingdom	GBR	-0.420599999999979	51.247870000000034	100.0	
Carroll, Lewis [pseud.]	Q38082	place of birth	Daresbury	Q990170	United Kingdom	GBR	Daresbury, United Kingdom	Daresbury, Cheshire, England, GBR	Locality	Village				Daresbury	Cheshire	England	United Kingdom	GBR	-2.637882539999964	53.33410704900007	100.0	
Carroll, Lewis [pseud.]	Q38082	place of death	The Chestnuts	Q26583003	United Kingdom	GBR	The Chestnuts, United Kingdom	The Chestnuts, Glenarm Road, Bristol, Avon, England, BS4 4, GBR	POI	Park	Glenarm Road	Glenarm		Bristol	Avon	England	United Kingdom	GBR	-2.5452399999999784	51.433200000000056	100.0	
Carroll, Lewis [pseud.]	Q38082	place of death	Guildford	Q213465	United Kingdom	GBR	Guildford, United Kingdom	Guildford, Surrey, England, GBR	Locality	City				Guildford	Surrey	England	United Kingdom	GBR	-0.5758869409999647	51.23944552900008	100.0	
Carroll, Lewis [pseud.]	Q38082	country of citizenship	England	Q21	United Kingdom	GBR	England, United Kingdom	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100.0	
Carroll, Lewis [pseud.]	Q38082	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Carroll, Lewis [pseud.]	Q38082	archives at	Harry Ransom Center	Q5671855	United States of America	USA	Harry Ransom Center, United States of America	Harry Ransom Center, 300 W 21st St, Austin, TX, 78712, USA	POI	Museum	300 W 21st St	21st	300	Austin	Travis County	Texas	United States	USA	-97.74105999999995	30.28376000000003	100.0	
Carroll, Lewis [pseud.]	Q38082	residence	England	Q21	United Kingdom	GBR	England, United Kingdom	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100.0	
Carroll, Lewis [pseud.]	Q38082	work location	England	Q21	United Kingdom	GBR	England, United Kingdom	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100.0	
Oliphant, Margaret	Q2415217	place of birth	Wallyford	Q4017844	United Kingdom	GBR	Wallyford, United Kingdom	Wallyford, East Lothian, Scotland, GBR	Locality	Village				Wallyford	East Lothian	Scotland	United Kingdom	GBR	-3.015396644999953	55.93696843100008	100.0	
Oliphant, Margaret	Q2415217	place of death	London	Q84	United Kingdom of Great Britain and Ireland	GBR	London, United Kingdom of Great Britain and Ireland	United Kingdom of Great Britain and Northern Ireland	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	93.63	
Oliphant, Margaret	Q2415217	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Oliphant, Margaret	Q2415217	residence	Windsor	Q464955	United Kingdom	GBR	Windsor, United Kingdom	Windsor, Berkshire, England, GBR	Locality	City				Windsor	Berkshire	England	United Kingdom	GBR	-0.6104675579999252	51.479843052000035	100.0	
Ouida, [pseud.]	Q258001	place of burial	Bagni di Lucca	Q216399	Italy	ITA	Bagni di Lucca, Italy	Bagni di Lucca, Lucca, ITA	Locality	City				Bagni di Lucca	Lucca	Toscana	Italia	ITA	10.590370000000064	44.00981000000007	100.0	
Ouida, [pseud.]	Q258001	place of birth	Bury St Edmunds	Q764754	United Kingdom	GBR	Bury St Edmunds, United Kingdom	Bury St Edmunds, West Suffolk, Suffolk, England, GBR	Locality	City				West Suffolk	Suffolk	England	United Kingdom	GBR	0.7138197940000737	52.24634776600004	100.0	
Ouida, [pseud.]	Q258001	place of death	Viareggio	Q221377	Italy	ITA	Viareggio, Italy	Viareggio, Lucca, ITA	Locality	City				Viareggio	Lucca	Toscana	Italia	ITA	10.23526000000004	43.881380000000036	100.0	
Ouida, [pseud.]	Q258001	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Ouida, [pseud.]	Q258001	country of citizenship	United Kingdom	Q145	United Kingdom	GBR	United Kingdom, United Kingdom	United Kingdom	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	100.0	
Oliphant, Laurence	Q267481	place of birth	Cape Town	Q5465	South Africa	ZAF	Cape Town, South Africa	Cape Town, Western Cape, ZAF	Locality	City				Cape Town	Cape Town	Western Cape	South Africa	ZAF	18.421980000000076	-33.91908999999998	100.0	
Oliphant, Laurence	Q267481	place of death	London Borough of Richmond upon Thames	Q32515	United Kingdom	GBR	London Borough of Richmond upon Thames, United Kingdom	London Borough of Richmond upon Thames, Greater London, England, GBR	Locality	City				Richmond	Greater London	England	United Kingdom	GBR	-0.3333299999999326	51.41667000000007	100.0	
Oliphant, Laurence	Q267481	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Oliphant, Laurence	Q267481	work location	London	Q84	United Kingdom of Great Britain and Ireland	GBR	London, United Kingdom of Great Britain and Ireland	United Kingdom of Great Britain and Northern Ireland	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	93.63	
Jenkins, John Edward	Q5343750	place of birth	Bangalore	Q1355	India	IND	Bangalore, India	Bangalore, Bengaluru, Karnataka, IND	Locality	City				Bengaluru	Bengaluru	Karnataka	India	IND	77.58694000000008	12.966140000000053	100.0	
Jenkins, John Edward	Q5343750	place of death	London	Q84	United Kingdom of Great Britain and Ireland	GBR	London, United Kingdom of Great Britain and Ireland	United Kingdom of Great Britain and Northern Ireland	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	93.63	
Jenkins, John Edward	Q5343750	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Jenkins, John Edward	Q5343750	work location	London	Q84	United Kingdom of Great Britain and Ireland	GBR	London, United Kingdom of Great Britain and Ireland	United Kingdom of Great Britain and Northern Ireland	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	93.63	
Linton, Elizabeth Lynn	Q4963097	place of birth	Keswick	Q1025076	United Kingdom	GBR	Keswick, United Kingdom	Keswick, Allerdale, Cumbria, England, GBR	Locality	City				Allerdale	Cumbria	England	United Kingdom	GBR	-3.1385684999999626	54.60155205400008	100.0	
Linton, Elizabeth Lynn	Q4963097	place of death	Westminster	Q189960	United Kingdom	GBR	Westminster, United Kingdom	Westminster, Greater London, England, GBR	Locality	City				Westminster	Greater London	England	United Kingdom	GBR	-0.13569999999992888	51.49750000000006	100.0	
Linton, Elizabeth Lynn	Q4963097	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Linton, Elizabeth Lynn	Q4963097	archives at	University of Victoria Special Collections and University Archives	Q47518588	Canada	CAN	University of Victoria Special Collections and University Archives, Canada	University, Brandon, MB, CAN	Locality	Neighborhood				Brandon	Division No. 7	Manitoba	Canada	CAN	-99.96327787999996	49.845647531000054	74.25	
Lytton, Edward Bulwer	Q318462	place of burial	Westminster Abbey	Q5933	United Kingdom	GBR	Westminster Abbey, United Kingdom	Westminster Abbey, Westminster Abbey, Broad Sanctuary, London, England, SW1P 3, GBR	POI	Historical Monument	Westminster Abbey, Broad Sanctuary	Broad Sanctuary		London	London	England	United Kingdom	GBR	-0.12733999999994694	51.49929000000003	100.0	
Lytton, Edward Bulwer	Q318462	place of birth	London	Q84	United Kingdom of Great Britain and Ireland	GBR	London, United Kingdom of Great Britain and Ireland	United Kingdom of Great Britain and Northern Ireland	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	93.63	
Lytton, Edward Bulwer	Q318462	place of death	Torquay	Q209055	United Kingdom	GBR	Torquay, United Kingdom	Torquay, Devon, England, GBR	Locality	City				Torquay	Devon	England	United Kingdom	GBR	-3.5314218849999293	50.46881188800006	100.0	
Lytton, Edward Bulwer	Q318462	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Lytton, Edward Bulwer	Q318462	archives at	National Library of Wales	Q666063	United Kingdom	GBR	National Library of Wales, United Kingdom	National Library of Wales, Aberystwyth, Dyfed, Wales, SY23 3, GBR	POI	Museum				Aberystwyth	Dyfed	Wales	United Kingdom	GBR	-4.06848999999994	52.414510000000064	100.0	
Lytton, Edward Bulwer	Q318462	work location	England	Q21	United Kingdom	GBR	England, United Kingdom	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100.0	
Lytton, Edward Bulwer	Q318462	work location	London	Q84	United Kingdom of Great Britain and Ireland	GBR	London, United Kingdom of Great Britain and Ireland	United Kingdom of Great Britain and Northern Ireland	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	93.63	
Collins, Wilkie	Q210740	place of burial	Kensal Green Cemetery	Q1574424	United Kingdom	GBR	Kensal Green Cemetery, United Kingdom	Kensal Green Cemetery, Harrow Road, London, England, NW10 5, GBR	POI	Cemetery	Harrow Road	Harrow		London	London	England	United Kingdom	GBR	-0.22571999999996706	51.530140000000074	100.0	
Collins, Wilkie	Q210740	place of birth	London	Q84	United Kingdom of Great Britain and Ireland	GBR	London, United Kingdom of Great Britain and Ireland	United Kingdom of Great Britain and Northern Ireland	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	93.63	
Collins, Wilkie	Q210740	place of death	London	Q84	United Kingdom of Great Britain and Ireland	GBR	London, United Kingdom of Great Britain and Ireland	United Kingdom of Great Britain and Northern Ireland	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	93.63	
Collins, Wilkie	Q210740	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Collins, Wilkie	Q210740	archives at	Harry Ransom Center	Q5671855	United States of America	USA	Harry Ransom Center, United States of America	Harry Ransom Center, 300 W 21st St, Austin, TX, 78712, USA	POI	Museum	300 W 21st St	21st	300	Austin	Travis County	Texas	United States	USA	-97.74105999999995	30.28376000000003	100.0	
Mallock, William Hurrell	Q4309820	place of birth	Cheriton Bishop	Q635094	United Kingdom	GBR	Cheriton Bishop, United Kingdom	Cheriton Bishop, Mid Devon, Devon, England, GBR	Locality	Village				Mid Devon	Devon	England	United Kingdom	GBR	-3.739273422999929	50.72478678700003	100.0	
Mallock, William Hurrell	Q4309820	place of death	Wincanton	Q1026640	United Kingdom	GBR	Wincanton, United Kingdom	Wincanton, South Somerset, Somerset, England, GBR	Locality	City				South Somerset	Somerset	England	United Kingdom	GBR	-2.41132446499995	51.05608301700005	100.0	
Mallock, William Hurrell	Q4309820	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Anstey, F. [pseud.]	Q3990574	place of birth	London	Q84	United Kingdom of Great Britain and Ireland	GBR	London, United Kingdom of Great Britain and Ireland	United Kingdom of Great Britain and Northern Ireland	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	93.63	
Anstey, F. [pseud.]	Q3990574	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Anstey, F. [pseud.]	Q3990574	country of citizenship	United Kingdom	Q145	United Kingdom	GBR	United Kingdom, United Kingdom	United Kingdom	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	100.0	
Broughton, Rhoda	Q449136	place of birth	Denbigh	Q1186888	United Kingdom	GBR	Denbigh, United Kingdom	Denbigh, Clwyd, Wales, GBR	Locality	City				Denbigh	Clwyd	Wales	United Kingdom	GBR	-3.420564274999947	53.183313729000076	100.0	
Broughton, Rhoda	Q449136	place of death	Oxford	Q34217	United Kingdom	GBR	Oxford, United Kingdom	Oxford, Oxfordshire, England, GBR	Locality	City				Oxford	Oxfordshire	England	United Kingdom	GBR	-1.257628795999949	51.751982637000026	100.0	
Broughton, Rhoda	Q449136	country of citizenship	United Kingdom of Great Britain and Ireland	Q174193	United Kingdom of Great Britain and Ireland	GBR	United Kingdom of Great Britain and Ireland, United Kingdom of Great Britain and Ireland	Ireland, Bedfordshire, England, GBR	Locality	Village				Ireland	Bedfordshire	England	United Kingdom	GBR	-0.34754845499998055	52.06069254300007	75.48	
Lee, Vernon	Q2669614	place of burial	Florence (Gli Allori) Evangelical Cemetery	Q530666	Italy	ITA	Florence (Gli Allori) Evangelical Cemetery, Italy	Cimitero Evangelico degli Allori, Via Senese, 50124, Firenze, ITA	POI	Cemetery	Via Senese	Senese		Firenze	Firenze	Toscana	Italia	ITA	11.231050000000039	43.74748000000005	84.46	
Lee, Vernon	Q2669614	place of birth	Boulogne-sur-Mer	Q81997	France	FRA	Boulogne-sur-Mer, France	Boulogne-sur-Mer, Pas-de-Calais, Hauts-de-France, FRA	Locality	City				Boulogne-sur-Mer	Pas-de-Calais	Hauts-de-France	France	FRA	1.6133535400000483	50.725135246000036	100.0	
Lee, Vernon	Q2669614	place of death	Florence	Q2044	Kingdom of Italy	ITA	Florence, Kingdom of Italy	Florence, ITA	Locality	City				Florence	Florence	Toscane	Italie	ITA	11.255010000000027	43.78237000000007	82.8	
Lee, Vernon	Q2669614	country of citizenship	United Kingdom	Q145	United Kingdom	GBR	United Kingdom, United Kingdom	United Kingdom	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	100.0	
Lee, Vernon	Q2669614	residence	Indonesia	Q252	Indonesia	IDN	Indonesia, Indonesia	Indonesia	Locality	Country							Indonesia	IDN	113.91586500000005	-0.989818181999965	100.0	
White, William Hale	Q604661	place of birth	Bedford	Q208257	United Kingdom	GBR	Bedford, United Kingdom	Bedford, Bedfordshire, England, GBR	Locality	City				Bedford	Bedfordshire	England	United Kingdom	GBR	-0.4684687249999797	52.136856316000035	100.0	
White, William Hale	Q604661	place of death	Groombridge	Q1547379	United Kingdom	GBR	Groombridge, United Kingdom	Groombridge, Wealden, East Sussex, England, GBR	Locality	Village				Wealden	East Sussex	England	United Kingdom	GBR	0.18576740600002495	51.11445523500004	100.0	
White, William Hale	Q604661	country of citizenship	United Kingdom	Q145	United Kingdom	GBR	United Kingdom, United Kingdom	United Kingdom	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	100.0	
White, William Hale	Q604661	archives at	Leeds University Library	Q24568958	United Kingdom	GBR	Leeds University Library, United Kingdom	Library, Woodhouse Lane, University District, Leeds, West Yorkshire, England, LS2 3, GBR	POI	ATM	Woodhouse Lane	Woodhouse		Leeds	West Yorkshire	England	United Kingdom	GBR	-1.5515499999999633	53.807150000000036	90.8	
Hardy, Thomas	Q132805	place of burial	Stinsford	Q2355376	United Kingdom	GBR	Stinsford, United Kingdom	Stinsford, Dorset, England, GBR	Locality	Village				Stinsford	Dorset	England	United Kingdom	GBR	-2.4112839569999664	50.72100280700005	100.0	
Hardy, Thomas	Q132805	place of burial	Westminster Abbey	Q5933	United Kingdom	GBR	Westminster Abbey, United Kingdom	Westminster Abbey, Westminster Abbey, Broad Sanctuary, London, England, SW1P 3, GBR	POI	Historical Monument	Westminster Abbey, Broad Sanctuary	Broad Sanctuary		London	London	England	United Kingdom	GBR	-0.12733999999994694	51.49929000000003	100.0	
Hardy, Thomas	Q132805	place of birth	Dorchester	Q503331	United Kingdom	GBR	Dorchester, United Kingdom	Dorchester, Dorset, England, GBR	Locality	City				Dorchester	Dorset	England	United Kingdom	GBR	-2.4381325119999246	50.71531159600005	100.0	
Hardy, Thomas	Q132805	place of death	Dorchester	Q503331	United Kingdom	GBR	Dorchester, United Kingdom	Dorchester, Dorset, England, GBR	Locality	City				Dorchester	Dorset	England	United Kingdom	GBR	-2.4381325119999246	50.71531159600005	100.0	
Hardy, Thomas	Q132805	country of citizenship	United Kingdom	Q145	United Kingdom	GBR	United Kingdom, United Kingdom	United Kingdom	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	100.0	
Hardy, Thomas	Q132805	archives at	Dorset History Centre	Q5298855	United Kingdom	GBR	Dorset History Centre, United Kingdom	History Centre, Worship Street, Hull, North Humberside, England, HU2 8, GBR	POI	Parking	Worship Street	Worship		Hull	North Humberside	England	United Kingdom	GBR	-0.33667999999994436	53.74792000000008	88.75	
Hardy, Thomas	Q132805	archives at	British Library	Q23308	United Kingdom	GBR	British Library, United Kingdom	British Library, 96 Euston Road, London, England, NW1 2, GBR	POI	Library	96 Euston Road	Euston	96	London	London	England	United Kingdom	GBR	-0.12749999999994088	51.52991000000003	100.0	
Hardy, Thomas	Q132805	archives at	Harry Ransom Center	Q5671855	United States of America	USA	Harry Ransom Center, United States of America	Harry Ransom Center, 300 W 21st St, Austin, TX, 78712, USA	POI	Museum	300 W 21st St	21st	300	Austin	Travis County	Texas	United States	USA	-97.74105999999995	30.28376000000003	100.0	
Hardy, Thomas	Q132805	archives at	Beinecke Rare Book & Manuscript Library	Q814779	United States of America	USA	Beinecke Rare Book & Manuscript Library, United States of America	Beinecke Rare Book and Manuscript Library, Town of New Haven, CT, USA	POI	Library				Town of New Haven	New Haven County	Connecticut	United States	USA	-72.92704999999995	41.31149000000005	100.0	
Barry, William Francis	Q8009301	place of birth	London	Q84	United Kingdom of Great Britain and Ireland	GBR	London, United Kingdom of Great Britain and Ireland	United Kingdom of Great Britain and Northern Ireland	Locality	Country							United Kingdom	GBR	-1.9695595439999352	53.40838660500003	93.63	
