Location,ent_type,context,p_no
Saturnalia,GPE,", I could not help myself. It is the Saturnalia, and the slaves will do no menial work.",1078
Saturnalia,GPE,alone. Body of Bacchus! This time of the Saturnalia is insufferable. Not a servant will do a stroke,1081
Rome,GPE,’d get up a procession of all the matrons of Rome to entreat the Senate to abolish the usage.”,1081
the Gulf of Corinth,LOC,"as that bit of storm we had getting out of the Gulf of Corinth, tossed about in my palanquin I hardly knew whether",1083
Saturnalia,GPE,"is a topsy-turvy time indeed. At the Saturnalia no strife is permissible, not a lawsuit, all",1083
Summanus,GPE,"interfere! But I don’t wonder. There was Summanus, God of the night thunders—and will you",1083
Saturnalia,GPE,"bring me my meals. Never mind—when the Saturnalia are over, I shall remember which were insolent and",1085
Rome,GPE,the head of the Illyrian legions was rapidly advancing on Rome. News had arrived that Spain and Gaul had declared,1088
Spain,GPE,was rapidly advancing on Rome. News had arrived that Spain and Gaul had declared for Vespasian. Britain had renounced,1088
Gaul,GPE,advancing on Rome. News had arrived that Spain and Gaul had declared for Vespasian. Britain had renounced allegiance to,1088
Britain,GPE,"arrived that Spain and Gaul had declared for Vespasian. Britain had renounced allegiance to Vitellius, only Africa still remained",1088
Africa,LOC,"Vespasian. Britain had renounced allegiance to Vitellius, only Africa still remained faithful.",1088
Narnia,LOC,"tidings arrived that the army of Vitellius that was at Narnia had surrendered. Thereupon the gross, aged Emperor dressed",1089
Rome,GPE,"Meanwhile the fighting in the streets of Rome had recommenced. Titus Flavius Sabinus, for security escaped",1090
Rome,GPE,“What is the matter? Ye Gods! surely Rome is not on fire again!”,1092
Duilia,GPE,Duilia ascended to the flat top of the house. The,1094
Carinæ,GPE,"house. The palace of the family was in the Carinæ, on the slope of the Esquiline hill, hard",1094
Rome,GPE,"guard to capture the Capitol, and the citadel of Rome that adjoined it, connected by only a small neck",1095
Rome,GPE,which rose the Temple of Jupiter Capitolinus that stood to Rome almost in the relation that the Temple did to Jeru,1096
Jeru salem,GPE,"Rome almost in the relation that the Temple did to Jeru salem, as the centre of its religious and civil institutions",1096
Rome,GPE,"almost the paladium of the city, the fate of Rome was held to be bound up with its preservation.",1097
Duilia,GPE,"“Really,” said Duilia, “Revolutions are only tolerable when seen from a",1100
Jupiter,LOC,", and addressing Longa Duilia, “A priest of Jupiter is below, and desires to speak with you.",1104
Jupiter,LOC,“A priest of Jupiter here!” exclaimed Duilia. “When his temple,1105
Duilia,GPE,“A priest of Jupiter here!” exclaimed Duilia. “When his temple is on fire! Bid,1105
Jupiter,LOC,". The Capitol is in flames, the temple of Jupiter Optimus Maximus blazes. I know what he wants—",1111
Jupiter,LOC,What is it? Look! the flames are licking Jupiter in his chariot.”,1113
Duilia,GPE,Duilia with an impatient toss of her head and shrug of,1115
Rome,GPE,“You know that the Præfect of Rome who supped at your house the other day is besieged,1117
Jupiter,LOC,"“He escaped disguised as a priest of Jupiter. As such, with veiled head he has passed",1131
Duilia,GPE,"“I will not,” said Duilia, stamping angrily on the concrete of the roof.",1134
Saturnalia,GPE,well—I—I would have put down the Saturnalia.”,1134
Rome,GPE,“Before morning the Illyrian legions will have arrived in Rome. Do you suppose the German bodyguard can stand against,1141
Duilia,GPE,"“There is something in that,” said Duilia.",1142
Duilia,GPE,"There is a good deal in that,” said Duilia, to which the Magus said,—",1144
Senecio,GPE,"no fear of betrayal from any in the house save Senecio, that owl-like philosopher. He is not",1145
Duilia,GPE,"“My good Elymas,” interrupted Duilia, “do not concern yourself about him. He",1146
Senecio,GPE,Senecio was not there now. He was probably out taking,1150
Duilia,GPE,"a benignant smile and a tear in her eye, Duilia almost ran to Domitian, her two hands extended.",1151
Domitian,GPE,"a tear in her eye, Duilia almost ran to Domitian, her two hands extended. She had just looked",1151
Senecio,GPE,"you my protection at such a time as this. Senecio, my philosopher, is out, gadding about—",1156
Duilia,GPE,discern who was there addressed by her mother. But Duilia stepped aside and allowed the light to flash over the,1158
Domitian,GPE,and allowed the light to flash over the face of Domitian.,1158
Jupiter,LOC,"has fled to us, disguised as a priest of Jupiter. O my dear, what a nice thing it",1160
Duilia,GPE,Duilia raised her eyebrows.,1164
Duilia,GPE,". It is childish, maidenly timidity,” said Duilia, frowning at Domitia and shaking her finger at her",1173
Duilia,GPE,"“There is something in that,” observed Duilia. “But how much better had the invitation been",1192
Duilia,GPE,"There is a good deal in that,” answered Duilia meditatively. “Well, it is only the ring",1194
Duilia,GPE,"“You are a good old creature,” said Duilia, “I withdraw any offensive expressions I may have",1200
Senecio,GPE,"gratify you, I will pay that old woman, Senecio, his wage and bid him pack.”",1200
Britain,GPE,"gave him a nice little supper—and oysters from Britain, my best Falernian, and that ring of your",1208
Falernian,GPE,"little supper—and oysters from Britain, my best Falernian, and that ring of your father’s, because",1208
Saturnalia,GPE,persons lost their lives in these eventful days of the Saturnalia.,1224
Domitian,GPE,", than she rushed into the apartment given up to Domitian.",1232
Rome,GPE,"69, three emperors had died violent deaths, and Rome had been in a condition of disorder on each occasion",1234
Præfect,GPE,", and was made Prince of the Youths, and Præfect of Rome in the place of his uncle, who",1235
Rome,GPE,"was made Prince of the Youths, and Præfect of Rome in the place of his uncle, who had been",1235
Duilia,GPE,To Duilia’s vast delight Domitian did not forget his obligation to,1237
Domitian,GPE,blandishments to make a visit to her house agreeable to Domitian.,1240
Rome,GPE,Suburra! What can take you into the slums of Rome?”,1247
Paris,GPE,"“I am going to see the wife of Paris, the tragic actor.”",1248
Paris,GPE,"“Oh! the wife of the actor, Paris,” with a sneer.",1249
Paris,GPE,"“I said so—the wife of Paris the actor,” she withdrew her veil and looked",1250
Paris,GPE,“She is our freedwoman. Paris was freed by my father likewise. Are you content,1252
Germany,GPE,"said the young prince. “I am off to Germany. There has been revolt there, and I go",1264
Rome,GPE,"I wish confusion and destruction to the worst enemies of Rome,” answered Domitia.",1272
Paris,GPE,"the “Island” in which was the home of Paris, she observed the young Cæsar still in the street",1277
Paris,GPE,"first story and at once turned towards the apartments of Paris and Glyceria, but had to thread her way among",1278
Glyceria,GPE,"and at once turned towards the apartments of Paris and Glyceria, but had to thread her way among poor people",1278
Rome,GPE,"Glyceria, and foreign cults at this time swarmed in Rome.",1286
Paris,GPE,“What! and Paris?”,1289
Insula,LOC,Domitia did not remain long in the Insula. She bade farewell to the wife of the actor,1313
Duilia,GPE,"Duilia asked where she had been, but did not listen",1315
Duilia,GPE,"“What is this I hear?” said Duilia, in a tone of irritation. “Lucilla tells",1316
Germany,GPE,“He is going to Germany to conclude a campaign already fought out and come back,1319
Germany,GPE,"feared, too late for him to reap laurels in Germany, the revolt had been quelled by Cerealis, but",1336
Gaul,GPE,"Cerealis, but as there was a ferment working in Gaul, it was deemed advisable that Domitian should go thither",1336
Domitian,GPE,"ferment working in Gaul, it was deemed advisable that Domitian should go thither and overcome the dissatisfied instead of crossing",1336
Alps,LOC,"go thither and overcome the dissatisfied instead of crossing the Alps. He had accordingly changed his route, and had",1336
Duilia,GPE,Domitia and Lamia could not take place so speedily as Duilia desired. She was wishful to have it over before,1337
Rome,GPE,"was wishful to have it over before the return to Rome of Domitian, so that she might be left a",1337
Sicily,GPE,"hindrances arose. Lamia was absent on his estates in Sicily, where there had been disturbances among the slaves,",1338
this Longa Duilia,GPE,"could not take place much before midsummer, and to this Longa Duilia had to submit.",1343
Duilia,GPE,"mind seeking the things beyond what was known, whereas Duilia had not a thought, a care that were not",1346
Duilia,GPE,", a care that were not material. The lady Duilia cared not a rush about philosophy or the theory of",1346
Sicily,GPE,"Lamia, on his return from Sicily was surprised to note the change in her appearance.",1349
Gaul,GPE,"way, have you heard? Domitian is back from Gaul. I was rejoiced at the news, and have",1354
Antioch,GPE,with them? I know they were all brought from Antioch.”,1361
Euphrosyne,GPE,"“To Glyceria, the sister of Euphrosyne.”",1364
Insula,LOC,and served by little children in the story of the Insula where she lives. I considered that it would amuse,1366
Duilia,GPE,"“As the Gods love me!” exclaimed Duilia, “Whoever heard before of such madness. Hellebore",1367
Duilia,GPE,", and this done they came to the palace of Duilia, bearing the skin of the sheep, to announce",1372
Venus,LOC,"the disastrous tokens of the wreath. Why, by Venus’s girdle, the girl has not been able to",1373
Hercules,GPE,"peculiar manner, with the so-called knot of Hercules, that was regarded as a charm against the evil",1374
pronuba,GPE,"and they received the salutations of their friends. The pronuba, a married female relative united their hands, and",1378
Jupiter,LOC,"Dialis offered sacrifice to the gods of marriage, to Jupiter, Juno, Tellus, and the old Latin half",1378
Feliciter,GPE,"the table he saluted the bride with the exclamation, Feliciter.",1382
Rome,GPE,"lady, belonging to one of the greatest houses in Rome, kissed a poor actor’s wife, an enfranchised",1395
the “Island”,LOC,"of men and women and children, the occupants of the “Island” in which she lived. It was they, who",1396
Lamia,GPE,", then ascended the Celian Hill to the house of Lamia.",1399
Rome,GPE,"all three,—to him who has secured the sweetest flower of Rome, and to Claudia and me who obtain so good",1406
Hercules,GPE,"of the Gods, especially of Lamius, son of Hercules and Omphale, the reputed half-divine ancestor of",1435
Omphale,GPE,"Gods, especially of Lamius, son of Hercules and Omphale, the reputed half-divine ancestor of the family",1435
Rome,GPE,soldiers who were said to lurk about the suburbs of Rome and commit depredations. Some thought that in maiden shyness,1436
Duilia,GPE,"household servants remarked that the servants of the family of Duilia had left,—that there had been a bustle in the garden",1440
the Porta Capena,LOC,"time a party surrounding a closed litter had passed through the Porta Capena, and was hurrying along the Appian Way.",1443
the Appian Way,LOC,"passed through the Porta Capena, and was hurrying along the Appian Way.",1443
the Appian Way,LOC,behind one of the mausoleums that line the sides of the Appian Way.,1459
Rome,GPE,"one of the roads that led from the gates of Rome, lined with tombs. How she had got there",1471
Alba,GPE,"“By the lake of Alba,” answered a dark-faced servant with hard",1486
the Alban Lake,LOC,"belonging to some Roman noble, and that villa beside the Alban Lake.",1494
the Alban Lake,LOC,"the friends of her mother speak of the beauties of the Alban Lake, and then her mother had lamented that the family",1495
the Alban Lake,LOC,"She had not previously seen the Alban Lake, although Gabii had been her residence for some months",1498
Appian Way,LOC,"she had been conveyed during the night was the great Appian Way. It could have been none other, and that",1499
Duilia,GPE,"studiously neglected her, that he might address himself to Duilia. He had taunted her, sneered at her,",1506
Euphrosyne,GPE,“Where are some of my family? Is not Euphrosyne here—or Eboracus?”,1508
Rome,GPE,am I here and not in Lamia’s house in Rome?”,1517
Rome,GPE,"I will also guarantee. I thank the Gods, Rome is not on the confines of the world, that",1522
Edessa,GPE,"perpetrated with impunity. We are not at Nizibis or Edessa to be fallen upon by Parthians, or held to",1522
Rome,GPE,"and Domitia remained undisturbed. No tidings reached her from Rome, but to her great relief the Cæsar Domitian did",1532
Augusta,GPE,"love me! I expect yet to hear you proclaimed Augusta, and to have to offer incense and to pour",1544
Rome,GPE,"I thank the Immortals, divorce is easily obtained in Rome—with money, influence in Rome—to the",1548
Rome,GPE,"easily obtained in Rome—with money, influence in Rome—to the end of time, my dear.",1548
Rome,GPE,"not. Why, there is not a court in Rome, not the Senate even can afford you protection and",1560
Egypt,GPE,“He is in Egypt.”,1562
Hercules,GPE,"from Lamius, and was not he the child of Hercules and Omphale? It was very naughty and shocking,",1570
Omphale,GPE,", and was not he the child of Hercules and Omphale? It was very naughty and shocking, and all",1570
Syria,GPE,"marry him, you must positively obtain the proconsulship of Syria or Egypt for him. And as to Lamia,",1572
Egypt,GPE,", you must positively obtain the proconsulship of Syria or Egypt for him. And as to Lamia, he can",1572
Rome,GPE,for you is what there is not another woman in Rome who would not give her jewels to obtain.”,1586
Italy,GPE,", drive us, if you will, out of Italy—but do not separate us.”",1595
Duilia,GPE,"in the entrance, holding back the curtain, and Duilia drew her daughter from her seat.",1597
Seneca,LOC,"She knew but too well what the threat was. Seneca had so perished under Nero,—by the cutting of the veins",1609
Seneca,LOC,"knew this—she had heard the dying agonies of Seneca and Petronius described,—and she looked with quivering lips and bloodless",1611
Munich,GPE,"At Munich and Bayreuth, at the performance of Wagner’s operas",1627
Bayreuth,GPE,"At Munich and Bayreuth, at the performance of Wagner’s operas, the",1627
Jerusalem,GPE,"brother, a man who, by the capture of Jerusalem, had gained a name, and had attached the",1632
Germany,GPE,"only by his abortive attempt to pluck the laurels in Germany from the brow of his kinsman Cerealis, for the",1632
Empire,GPE,granted none of the titles that indicated association in the Empire. He was not suffered to take part in public,1633
Empire,GPE,raised. His father had already associated him in the Empire and had gradually transferred the conduct of affairs to his,1640
Domitian,GPE,"each other, at all events in appearance, and Domitian had been sufficiently prudent to veil his jealousy of Titus",1641
Rome,GPE,", retained his younger son about his person, in Rome, and it was but rarely that the prince was",1644
Rome,GPE,"She occasionally visited her mother in Rome, but the chasm between them widened. Duilia could",1652
Duilia,GPE,"in Rome, but the chasm between them widened. Duilia could not understand her daughter’s refusal to accept the",1652
Duilia,GPE,"it, “eat her rat.” The older Duilia grew, the less inclined she was to acknowledge her",1652
Duilia,GPE,"to obtain an interview with the aged Emperor, and Duilia took pains to assure him that the marriage had been",1653
Gabii,GPE,", “let me go to my old home at Gabii. I have lived in seclusion enough at Albanum to",1673
Rome,GPE,"have become. Caligula threw mud, the mud of Rome, into the lap of my grandfather, because he",1678
Rome,GPE,the streets. It was ominous—the soil of Rome has been taken away from the divine race of Julius,1678
Rome,GPE,"them. It is not I only, but all Rome, that knows that your life together is not that",1688
Venus,LOC,"that knows that your life together is not that of Venus’s doves. It is unpleasant to me, it",1688
Rome,GPE,"well pleased with our house. We have given to Rome peace and prosperity at home, and victory abroad.",1695
Rome,GPE,"disorders, thy violence, before our father came to Rome, have not been forgotten or forgiven, and Senate",1695
Rome,GPE,"Domitia, seated beside the balustrade, looked over mighty Rome, the teeming forum, roofs with gilded tiles of",1711
Jupiter,LOC,"glinting with gold, was the newly completed temple of Jupiter, rebuilt in greater splendor than before since the disastrous",1711
Euphrosyne,GPE,"“Euphrosyne,” said Domitia, “come hither! observe",1718
the Alban Lake,LOC,"the falling rain, or the fields the outflow of the Alban Lake; then it flies away into space, and as",1728
Rome,GPE,"were parted. Your quarrels are now the talk of Rome, and many a cutting jest is put into your",1744
Rome,GPE,"some days, and it is my intent to leave Rome and be free from business and take my cure at",1748
Jupiter Capitolinus,LOC,yours. I know what my brother is. By Jupiter Capitolinus! if Rome should ever have him as its prince,1750
Rome,GPE,"what my brother is. By Jupiter Capitolinus! if Rome should ever have him as its prince, it will",1750
Antioch,GPE,"to advance him to some foreign post—he knows Antioch, I will give him the proconsulship of Syria and",1753
Syria,GPE,"knows Antioch, I will give him the proconsulship of Syria and Cilicia, and so move him away from Rome",1753
Cilicia,GPE,", I will give him the proconsulship of Syria and Cilicia, and so move him away from Rome. And",1753
Rome,GPE,"Syria and Cilicia, and so move him away from Rome. And then—” he took a turn,",1753
Antioch,GPE,see that you need mope at Gabii. You know Antioch; you were there for some years. It is,1753
Rome,GPE,"not, unless the Emperor could not trust him in Rome—or may be, in his goodness he has",1761
Rome,GPE,that was a topic of gossip in the saloons of Rome.,1766
Carinæ,GPE,tell the fellows not to go at once to the Carinæ. I have a fancy to see the wife of,1768
Paris,GPE,". I have a fancy to see the wife of Paris the actor, in the Insula of Castor and Pollux",1768
Rome,GPE,who had in fact forbidden them—was absent from Rome.,1769
Euphrosyne,GPE,"Taking Euphrosyne along with her, Domitia made her way towards the",1775
Augusta,GPE,"it was whispered would some day be herself Empress, Augusta, and an object of religious worship.",1777
Paris,GPE,", times have been better, and why has not Paris moved into superior quarters? Surely he is in better",1786
Paris,GPE,"degree,” answered the actor’s wife. “Paris performs in the grand old dramas in Greek only;",1787
Æschylus and,LOC,"grand old dramas in Greek only; in those of Æschylus and Eurypides and Sophocles, he is a tragic actor,—and—",1787
Rome,GPE,a sad bungler in comedy. Now the taste of Rome is not for the masterpieces of the ancients. The,1787
Paris,GPE,"we live; I hang as a log about my Paris’s neck, but thank God, he loves his",1787
the Kingdom of Heaven,GPE,"low firm voice, “thou art not far from the Kingdom of Heaven.”",1793
Paris,GPE,"But before he could offer any explanation, Paris appeared, his face expressive of alarm; he had",1807
Carinæ,GPE,"she, “I will visit my mother in the Carinæ. She will know everything.”",1821
Atrium,LOC,"She passed the vestibule, traversed the Atrium and entered the Tablinum. But Longa Duilia was not",1827
Tablinum,GPE,"passed the vestibule, traversed the Atrium and entered the Tablinum. But Longa Duilia was not there. A slave",1827
Duilia,GPE,"ushered into her mother’s presence, and at once Duilia bowed to her with profound respect.",1829
Rome,GPE,—what is this that has cast a shadow over Rome and frightened the people as with an eclipse?”,1832
Rome,GPE,"be only rumor and yet,—he was suffering when he left Rome.”",1833
the Vestal Superior,LOC,"Laying hold of Domitia and the Vestal Superior by the wrists, she drew them with her to",1840
Rome,GPE,"The silence that had fallen on Rome had passed away, the town was now resonant with",1841
Rome,GPE,had—ah me!—Things would have been very different in Rome. But he suffered for his obstinacy. You must,1860
Domitian,GPE,“Go whither? the world belongs to Domitian. There is not a corner where you can hide,1862
Vestal,LOC,"“I am at your service,” answered the Vestal.",1866
the Vestal Cornelia,LOC,"retinue started, and a moment after followed that of the Vestal Cornelia.",1869
the Vestal Superior,LOC,"divided, and every obstacle gave way immediately. But the Vestal Superior needed not that the Cæsar’s wife should open the",1871
Vestal,LOC,"seem long in your sweet society,” answered the Vestal and taking Domitia’s hand led her up the steps",1877
Alba,GPE,"When the Romans were a pastoral people at Alba, then it was the duty of the young girls",1883
the Vestal Virgins,LOC,"This was the origin of the institution of the Vestal Virgins, an institution which lasted from the founding of Rome",1886
Rome,GPE,"Virgins, an institution which lasted from the founding of Rome in B. C. 753, to the disestablishment of",1886
B. C. 753,GPE,"an institution which lasted from the founding of Rome in B. C. 753, to the disestablishment of Paganism, and the expulsion",1886
Vestal,LOC,"disestablishment of Paganism, and the expulsion of the last Vestal, in A. D. 394, nearly eleven hundred",1886
Vestal,LOC,"term of service was thirty years, after which the Vestal was free to return home and to marry. The",1887
Rome,GPE,"maintaining the perpetual fire. They preserved the palladia of Rome, those mysterious articles on which the prosperity, nay",1889
Vestal,LOC,. What these were was never known. The last Vestal carried them away and concealed them. With her death,1889
Rome,GPE,"I know not—only let me get away from Rome, then trust my craft to enable me to evade",1902
Italy,GPE,"“Get me out of Italy, and I shall be safe. I will not",1904
Vestal,LOC,"The Vestal said, “Let me have time to think this",1905
Rome,GPE,"wonderfully peaceful, in the midst of busy, seething Rome, and in the centre of its greatest movement.",1923
Vestal,LOC,"would have been an unendurable life, but that the Vestal college was possessed of country seats, to which some",1924
Vestal,LOC,"basked himself, then strutted, and on seeing a Vestal approach hopped towards her. When, moreover, the",1925
Italy,GPE,"it is impossible for you to lie hid anywhere in Italy—and impossible to escape from it, unknown to",1927
Augusta,GPE,"the weight of duties that will now fall on the Augusta, and that thy health is feeble and thou needest",1927
the Via Nova,LOC,"of us Vestals, he hath been up and down the Via Nova and the Sacred Way, never letting this place out",1931
the Sacred Way,LOC,"he hath been up and down the Via Nova and the Sacred Way, never letting this place out of his eye—",1931
Gabii,GPE,"Domitia was at Gabii. Cornelia, the Vestal Great Mother had sent her",1933
the Vestal Great Mother,LOC,"Domitia was at Gabii. Cornelia, the Vestal Great Mother had sent her thither in her own litter, and",1933
the Gabian villa,LOC,"On the third day after she had been in the Gabian villa, Celer came out from Rome. He was a",1938
Rome,GPE,"been in the Gabian villa, Celer came out from Rome. He was a plain middle-aged man with",1938
Euphrosyne,GPE,",” said Domitia. “Come, now, Euphrosyne, bring me spindle and distaff, I will be",1952
Rome,GPE,"So days passed, occasionally tidings came from Rome, but these were uncertain rumors. Domitia was enjoying",1953
Euphrosyne,GPE,"from annoyance in the country. And she had in Euphrosyne one with whom she talked with pleasure, for the",1953
Longa Duilia,GPE,"A bustle, and in a moment, in sailed Longa Duilia, very much painted, very yellow in hair,",1970
Carinæ,GPE,“Whither? To your house in the Carinæ?”,1976
Augusta,GPE,"proper place. My dear, you will be proclaimed Augusta, and receive worship as a divinity. The Senate",1977
Duilia,GPE,"“Then,” said Duilia, looking carefully about, “that jade, big",1979
Rome,GPE,. There has been a good deal of disturbance in Rome. As the Gods love me! I do not,1993
Rome,GPE,"men’s minds. You know what a disturbance in Rome is, we have gone through several. By Jupiter",1993
Jupiter,LOC,"Rome is, we have gone through several. By Jupiter! I shall never forget the rocking I went through",1993
Rome,GPE,“Rome does. The Roman rabble will not have it so,1995
Messalinus,GPE,blade of which is innocuous. I will call in Messalinus. He will tell you more.”,1997
Duilia,GPE,"“Catullus Messalinus,” said Duilia, “have the goodness to inform my daughter of",2000
Rome,GPE,"On her return to Rome and the palace, Domitia did not see the Emperor",2006
Rome,GPE,hear the mutter of voices in the circus; all Rome would be there. As she had descended from the,2015
the Vestal Virgins,LOC,"it had been customary for the Empress to sit with the Vestal Virgins. But Nero had broken this rule and Domitian,",2016
Domitian,GPE,"Vestal Virgins. But Nero had broken this rule and Domitian, the more to emphasize his reconciliation with Domitia,",2016
Rome,GPE,"pleasure of his well-beloved, the citizens of Rome, senators, knights, and people generally, and",2021
Rome,GPE,"of such strangers as might at the time be in Rome, the centre of the world.",2021
Augusta,GPE,! the blue! It is the color of the Augusta! The blue! Sabaste! I swear by her,2044
Augusta,GPE,"blue! It shall win! The color of the Augusta! of the divine Augusta, the friend of the",2046
Augusta,GPE,"! The color of the Augusta! of the divine Augusta, the friend of the Roman people! The blue",2046
Paris,GPE,“It is the actor Paris. Yet do nothing now. It would be inauspicious,2051
Augusta,GPE,blue! the dear blue! the blue of the Augusta has it! Ye Gods be praised! I vow,2055
Augusta,GPE,! The blue has it. All hail to the Augusta! to heaven’s blue!”,2055
Paris,GPE,"“Paris, madam, the inimitable, the admired Paris,",2064
Paris,GPE,"“Paris, madam, the inimitable, the admired Paris, that he may recite from Greek plays to our",2064
Paris,GPE,brow of Domitia at the sneers and covert insinuations. Paris! what was Paris to her? what but the,2065
Paris,GPE,the sneers and covert insinuations. Paris! what was Paris to her? what but the struggling husband of Glyceria,2065
Augusta,GPE,a word or two. “He is beside the Augusta—what did he say—and in a low,2090
Paris,GPE,"which she had fallen, by hearing the voice of Paris, the tragic actor.",2101
Paris,GPE,"Paris bowed, and drawing himself up, closing his eyes",2105
Paris,GPE,Paris resumed:—,2110
Paris,GPE,"As she rose, she looked at Paris. Their eyes met, and at once a horror",2114
Paris,GPE,"“Be speedy. Follow Paris, and protect him. There is evil planned against",2119
Paris,GPE,"could think of nothing else but the danger that menaced Paris. She went out on the terrace, and the",2123
the Sacred Way,LOC,"Now she could hear voices below in the Sacred Way. She could see lights, coming from several quarters",2128
Euphrosyne,GPE,"“Euphrosyne,” said she, “I bid you go",2139
Euphrosyne,GPE,"as her emotion threatened to get the upper hand—“and, Euphrosyne, tell Glyceria that I shall go to see her",2139
Euphrosyne,GPE,"not be a cause of fresh evil. O, Euphrosyne, does she curse me?”",2139
Paris,GPE,with the flowers the spot stained with the blood of Paris.,2144
Paris,GPE,"was through no ill-will on her part that Paris and his pupil, and some of their own party",2150
Glyceria,GPE,as she passed along the gallery to the apartment of Glyceria.,2154
Euphrosyne,GPE,"shall bear thee in my litter, at once. Euphrosyne shall tarry here and collect thy little trifles, and",2192
Augusta,GPE,"and placed in the litter of the Empress, the Augusta, to whom divine honors had been accorded. And",2193
Albanum,GPE,"Usually, when he was in his splendid villa at Albanum, she elected to remain in Rome, and when",2204
Rome,GPE,"splendid villa at Albanum, she elected to remain in Rome, and when he came to the palace on the",2204
Glyceria,GPE,"would have become as adamant but for the presence of Glyceria, whom the Empress sincerely loved, and who exercised",2205
Augusta,GPE,", once only did she dare to suggest that the Augusta should assume a gentler demeanor towards the sovereign of the",2207
the Sacred Mount,LOC,"a height above the Anio, commanding a view of the Sacred Mount.",2211
Rome,GPE,"But she was obliged to return to Rome; and with a small retinue, and without heralds",2213
Rome,GPE,"and, in faith, every minute I am outside Rome, the better satisfied am I.”",2215
the Accursed Field,LOC,", it is an ill spot, we are opposite the Accursed Field.”",2216
the Accursed Field,GPE,open space before the wall went by the designation of the Accursed Field.,2222
Rome,GPE,"defence. Some of the crowd was drifting back into Rome, and by entering this current, the train of",2248
Carinæ,GPE,. Suffer me to recommend that you go to the Carinæ and tarry there—with your lady mother for a,2252
Carinæ,GPE,the same orders? To my mother’s in the Carinæ.”,2269
Longa Duilia,GPE,", spoke no more till she reached the door of Longa Duilia.",2270
Duilia,GPE,The lady Duilia started up to embrace the Empress.,2273
Duilia,GPE,"—you must take that,” said the lady Duilia. “My dear, I know all about that",2285
Rome,GPE,did what she could to further your object in leaving Rome. If people will do donkey-like things they,2289
Augusta,GPE,". What more do you desire? You are the Augusta, the people swear by your genius and fortune.",2293
Duilia,GPE,Duilia did not speak. She did not desire another such,2303
Duilia,GPE,“That sword—ah!” said Duilia. “It has been a little overdone. I,2311
the Sabine Mountains,LOC,"Magian, “remember that when thou lookest out upon the Sabine Mountains, on one day all is so distinct that thou",2315
Augusta,GPE,"“Is it thine own future, Augusta, thou desirest to look into?”",2319
Saturn,LOC,"it gave motion to the hand of a statuette of Saturn, who with his scythe indicated a number on an",2334
Jupiter,LOC,“Sayest thou so? Then by Jupiter! I will make thy forecast come to naught.,2341
Rome,GPE,“I marvel only that any in Rome are suffered to live.”,2348
Jupiter,LOC,"the Senate, the nobles hate me, and by Jupiter, they have good cause, for I cut them",2353
Saturn,LOC,"said that does not reach me. So, old Saturn, with thy scythe, dost thou threaten? Then",2355
Rome,GPE,ha! I saw the storm was coming up over Rome.”,2355
Præfect,GPE,"morrow:— By decapitation:   Petronius Secundus, Præfect of the Prætorium.   Norbanus, likewise Præfect of",2386
Augusta,GPE,"“Augusta!” said he, “the lightning has struck",2393
Paris,GPE,“Because of Paris—No!”,2434
Norbanus,LOC,"made. Some of the soldiers, with the præfect Norbanus, came on running, whilst the other, Petronius",2441
Euphrosyne,GPE,"” asked Eboracus. He answered himself—“Yes—here is Euphrosyne. She shall attend, and a boy shall carry",2468
Rome,GPE,the street. Notwithstanding all the civili zation of ancient Rome the art of lighting the thoroughfares at night was unknown,2471
Rome,GPE,The streets of Rome had for long been of bad repute for the brawls,2472
Rome,GPE,"And of all portions of Rome, the Forum with its splendid monuments, its rich",2473
Saturn,LOC,"splendid monuments, its rich temples, especially that of Saturn, that contained the city treasures, was most patrolled",2473
Rome,GPE,That at which she aimed was the prison of Rome. It lay at the foot of the Capitoline Hill,2475
Hercules,GPE,"Kings—by Servius Tullus, they say. By Hercules! this is not a tavern where men tarry long",2490
Jerusalem,GPE,"the struggle against the God Titus, in defence of Jerusalem; and see—” he threw open a door",2491
Sejanus,LOC,"committed suicide in yon cell, and a garment of Sejanus, and the very bowstring wherewith—I am going",2491
Hercules,LOC,"Nazarene,” he began to cackle. “By Hercules! the chain is long enough. They come for",2491
Augusta,GPE,"of the jailer and whispered—“Go without, it is the Augusta!”",2505
Gabii,GPE,"In the old home of Gabii, under the tender care of Euphrosyne and in the",2516
Euphrosyne,GPE,"old home of Gabii, under the tender care of Euphrosyne and in the soothing company of Glyceria, little by",2516
Duilia,GPE,"Duilia, as she herself said, was not created to",2519
Duilia,GPE,"Nor did the visits and efforts to amuse, of Duilia, avail anything towards Domitia’s cure. On the",2520
Syria,GPE,to her abruptly: “You have never been in Syria?”,2558
East,LOC,"largely made by the votaries of the many cults from East and South who came to Rome were unfulfilled, and",2564
South,LOC,"by the votaries of the many cults from East and South who came to Rome were unfulfilled, and this made",2564
Rome,GPE,"the many cults from East and South who came to Rome were unfulfilled, and this made her unable to place",2564
præfect,GPE,", one of the two sons of Flavius Sabinus, præfect of the city, who had held the Capitol against",2578
Rome,GPE,Vitellius and had been murdered but a few hours before Rome was entered by the troops that favored his brother Vespasian,2578
Rome,GPE,on her estate not far from the Ardeatine Gate of Rome.,2579
Rome,GPE,"“My cousin, Rome is full of religions. Some say the truth is",2585
Isis,GPE,"Some say the truth is in Sabazius, some in Isis, some in the stars, some in Mithras—",2585
